planid,provider,plan_name,premium,deductible,copay,coverageamount,networksize,claimrejectionrate,addons,waitingperioddays,geos,plan_type,plan_tier,age_band_18_35_premium,age_band_36_50_premium,age_band_51_65_premium,max_out_of_pocket,plan_category
PL10013,Kotak Mahindra Life Insurance,Kotak Mahindra Life Insurance Return of Premium (TROP),600.0,0.0,0.0,20000000,0,1.33,,0,"Uttar Pradesh,Punjab,Tamil Nadu,Rajasthan,Delhi",individual,NA,400.0,600.0,1000.0,0,Return of Premium (TROP)
PL10014,Kotak Mahindra Life Insurance,Kotak Mahindra Life Insurance Convertible Term Plan,30.0,0.0,0.0,1000000,0,1.37,accident_cover,0,"Karnataka,West Bengal,Maharashtra,Rajasthan,Gujarat",individual,NA,20.0,30.0,50.0,0,Convertible Term Plan
PL10015,Aditya Birla Sun Life Insurance,Aditya Birla Sun Life Insurance Pure Term Plan,300.0,0.0,0.0,10000000,0,1.14,,0,"Telangana,Rajasthan,Andhra Pradesh,Odisha,Gujarat",individual,NA,200.0,300.0,500.0,0,Pure Term Plan
PL10016,Aditya Birla Sun Life Insurance,Aditya Birla Sun Life Insurance Return of Premium (TROP),60.0,0.0,0.0,2000000,0,0.61,,0,"Maharashtra,Tamil Nadu,West Bengal,Haryana,Karnataka",individual,NA,40.0,60.0,100.0,0,Return of Premium (TROP)
PL10017,Aditya Birla Sun Life Insurance,Aditya Birla Sun Life Insurance Convertible Term Plan,300.0,0.0,0.0,10000000,0,0.11,accident_cover,0,"Delhi,Uttar Pradesh,Rajasthan,Maharashtra,Haryana",individual,NA,200.0,300.0,500.0,0,Convertible Term Plan
PL10018,TATA AIA Life Insurance,TATA AIA Life Insurance Pure Term Plan,60.0,0.0,0.0,2000000,0,0.23,accident_cover,0,"Haryana,Karnataka,Rajasthan,Uttar Pradesh,Kerala",individual,NA,40.0,60.0,100.0,0,Pure Term Plan
PL10019,TATA AIA Life Insurance,TATA AIA Life Insurance Return of Premium (TROP),15.0,0.0,0.0,500000,0,0.72,accident_cover,0,"Karnataka,West Bengal,Kerala,Haryana,Telangana",individual,NA,10.0,15.0,25.0,0,Return of Premium (TROP)
PL10020,TATA AIA Life Insurance,TATA AIA Life Insurance Convertible Term Plan,15.0,0.0,0.0,500000,0,1.13,,0,"Haryana,Uttar Pradesh,Bihar,Gujarat,Andhra Pradesh",individual,NA,10.0,15.0,25.0,0,Convertible Term Plan
PL10021,SBI Life Insurance,SBI Life Insurance Pure Term Plan,15.0,0.0,0.0,500000,0,0.49,accident_cover,0,"Maharashtra,Telangana,West Bengal,Haryana,Gujarat",individual,NA,10.0,15.0,25.0,0,Pure Term Plan
PL10022,SBI Life Insurance,SBI Life Insurance Return of Premium (TROP),600.0,0.0,0.0,20000000,0,1.44,accident_cover,0,"Karnataka,West Bengal,Maharashtra,Delhi,Gujarat",individual,NA,400.0,600.0,1000.0,0,Return of Premium (TROP)
PL10023,SBI Life Insurance,SBI Life Insurance Convertible Term Plan,600.0,0.0,0.0,20000000,0,1.41,accident_cover,0,"Uttar Pradesh,Maharashtra,Telangana,West Bengal,Delhi",individual,NA,400.0,600.0,1000.0,0,Convertible Term Plan
PL10024,Bajaj Allianz Life Insurance,Bajaj Allianz Life Insurance Pure Term Plan,60.0,0.0,0.0,2000000,0,1.05,accident_cover,0,"Rajasthan,Andhra Pradesh,Karnataka,Punjab,Telangana",individual,NA,40.0,60.0,100.0,0,Pure Term Plan
PL10025,Bajaj Allianz Life Insurance,Bajaj Allianz Life Insurance Return of Premium (TROP),600.0,0.0,0.0,20000000,0,0.97,accident_cover,0,"West Bengal,Bihar,Punjab,Gujarat,Andhra Pradesh",individual,NA,400.0,600.0,1000.0,0,Return of Premium (TROP)
PL10026,Bajaj Allianz Life Insurance,Bajaj Allianz Life Insurance Convertible Term Plan,150.0,0.0,0.0,5000000,0,0.87,accident_cover,0,"Kerala,Telangana,Rajasthan,Odisha,West Bengal",individual,NA,100.0,150.0,250.0,0,Convertible Term Plan
PL10027,PNB MetLife India Insurance,PNB MetLife India Insurance Pure Term Plan,30.0,0.0,0.0,1000000,0,0.56,accident_cover,0,"Uttar Pradesh,Kerala,Haryana,West Bengal,Karnataka",individual,NA,20.0,30.0,50.0,0,Pure Term Plan
PL10028,PNB MetLife India Insurance,PNB MetLife India Insurance Return of Premium (TROP),60.0,0.0,0.0,2000000,0,1.04,,0,"Uttar Pradesh,Rajasthan,Haryana,Odisha,Delhi",individual,NA,40.0,60.0,100.0,0,Return of Premium (TROP)
PL10029,PNB MetLife India Insurance,PNB MetLife India Insurance Convertible Term Plan,600.0,0.0,0.0,20000000,0,1.08,,0,"Kerala,Bihar,Tamil Nadu,Delhi,Maharashtra",individual,NA,400.0,600.0,1000.0,0,Convertible Term Plan
PL10030,Reliance Nippon Life Insurance,Reliance Nippon Life Insurance Pure Term Plan,300.0,0.0,0.0,10000000,0,0.47,,0,"Telangana,Maharashtra,Rajasthan,Punjab,Gujarat",individual,NA,200.0,300.0,500.0,0,Pure Term Plan
PL10031,Reliance Nippon Life Insurance,Reliance Nippon Life Insurance Return of Premium (TROP),30.0,0.0,0.0,1000000,0,0.23,accident_cover,0,"Delhi,Haryana,Uttar Pradesh,Punjab,West Bengal",individual,NA,20.0,30.0,50.0,0,Return of Premium (TROP)
PL10032,Reliance Nippon Life Insurance,Reliance Nippon Life Insurance Convertible Term Plan,300.0,0.0,0.0,10000000,0,0.56,accident_cover,0,"Rajasthan,West Bengal,Gujarat,Haryana,Andhra Pradesh",individual,NA,200.0,300.0,500.0,0,Convertible Term Plan
PL10033,Aviva Life Insurance India,Aviva Life Insurance India Pure Term Plan,150.0,0.0,0.0,5000000,0,0.39,accident_cover,0,"Gujarat,Odisha,Kerala,Maharashtra,Andhra Pradesh",individual,NA,100.0,150.0,250.0,0,Pure Term Plan
PL10034,Aviva Life Insurance India,Aviva Life Insurance India Return of Premium (TROP),15.0,0.0,0.0,500000,0,1.19,,0,"Delhi,Bihar,Tamil Nadu,Odisha,Karnataka",individual,NA,10.0,15.0,25.0,0,Return of Premium (TROP)
PL10035,Aviva Life Insurance India,Aviva Life Insurance India Convertible Term Plan,15.0,0.0,0.0,500000,0,1.44,accident_cover,0,"Telangana,Rajasthan,Gujarat,Maharashtra,Kerala",individual,NA,10.0,15.0,25.0,0,Convertible Term Plan
PL10036,Sahara India Life Insurance,Sahara India Life Insurance Pure Term Plan,15.0,0.0,0.0,500000,0,0.73,,0,"Punjab,Rajasthan,Delhi,Andhra Pradesh,Telangana",individual,NA,10.0,15.0,25.0,0,Pure Term Plan
PL10037,Sahara India Life Insurance,Sahara India Life Insurance Return of Premium (TROP),60.0,0.0,0.0,2000000,0,0.98,accident_cover,0,"Maharashtra,Rajasthan,Delhi,Uttar Pradesh,Tamil Nadu",individual,NA,40.0,60.0,100.0,0,Return of Premium (TROP)
PL10038,Sahara India Life Insurance,Sahara India Life Insurance Convertible Term Plan,60.0,0.0,0.0,2000000,0,0.3,accident_cover,0,"Telangana,Bihar,West Bengal,Punjab,Kerala",individual,NA,40.0,60.0,100.0,0,Convertible Term Plan
PL10039,Shriram Life Insurance,Shriram Life Insurance Pure Term Plan,60.0,0.0,0.0,2000000,0,1.28,,0,"West Bengal,Maharashtra,Tamil Nadu,Kerala,Delhi",individual,NA,40.0,60.0,100.0,0,Pure Term Plan
PL10040,Shriram Life Insurance,Shriram Life Insurance Return of Premium (TROP),60.0,0.0,0.0,2000000,0,0.27,,0,"Haryana,Tamil Nadu,Uttar Pradesh,Kerala,Andhra Pradesh",individual,NA,40.0,60.0,100.0,0,Return of Premium (TROP)
PL10041,Shriram Life Insurance,Shriram Life Insurance Convertible Term Plan,60.0,0.0,0.0,2000000,0,1.23,accident_cover,0,"Punjab,Tamil Nadu,Gujarat,West Bengal,Telangana",individual,NA,40.0,60.0,100.0,0,Convertible Term Plan
PL10042,Bharti AXA Life Insurance,Bharti AXA Life Insurance Pure Term Plan,15.0,0.0,0.0,500000,0,1.01,,0,"Telangana,Rajasthan,Karnataka,Punjab,Haryana",individual,NA,10.0,15.0,25.0,0,Pure Term Plan
PL10043,Bharti AXA Life Insurance,Bharti AXA Life Insurance Return of Premium (TROP),600.0,0.0,0.0,20000000,0,0.66,,0,"Punjab,Haryana,Telangana,Odisha,Rajasthan",individual,NA,400.0,600.0,1000.0,0,Return of Premium (TROP)
PL10044,Bharti AXA Life Insurance,Bharti AXA Life Insurance Convertible Term Plan,60.0,0.0,0.0,2000000,0,1.44,,0,"Karnataka,Rajasthan,Tamil Nadu,Andhra Pradesh,Telangana",individual,NA,40.0,60.0,100.0,0,Convertible Term Plan
PL10045,Future Generali India Life Insurance,Future Generali India Life Insurance Pure Term Plan,15.0,0.0,0.0,500000,0,0.78,,0,"Uttar Pradesh,Kerala,Punjab,Maharashtra,Rajasthan",individual,NA,10.0,15.0,25.0,0,Pure Term Plan
PL10046,Future Generali India Life Insurance,Future Generali India Life Insurance Return of Premium (TROP),600.0,0.0,0.0,20000000,0,0.31,accident_cover,0,"Odisha,Kerala,Punjab,Andhra Pradesh,West Bengal",individual,NA,400.0,600.0,1000.0,0,Return of Premium (TROP)
PL10047,Future Generali India Life Insurance,Future Generali India Life Insurance Convertible Term Plan,60.0,0.0,0.0,2000000,0,0.61,accident_cover,0,"Tamil Nadu,Bihar,Kerala,Maharashtra,Delhi",individual,NA,40.0,60.0,100.0,0,Convertible Term Plan
PL10048,Ageas Federal Life Insurance,Ageas Federal Life Insurance Pure Term Plan,30.0,0.0,0.0,1000000,0,0.39,accident_cover,0,"Telangana,Punjab,Delhi,Karnataka,Andhra Pradesh",individual,NA,20.0,30.0,50.0,0,Pure Term Plan
PL10049,Ageas Federal Life Insurance,Ageas Federal Life Insurance Return of Premium (TROP),30.0,0.0,0.0,1000000,0,0.16,accident_cover,0,"Odisha,Punjab,Delhi,Uttar Pradesh,Haryana",individual,NA,20.0,30.0,50.0,0,Return of Premium (TROP)
PL10050,Ageas Federal Life Insurance,Ageas Federal Life Insurance Convertible Term Plan,15.0,0.0,0.0,500000,0,1.32,,0,"Uttar Pradesh,Bihar,Andhra Pradesh,Punjab,Delhi",individual,NA,10.0,15.0,25.0,0,Convertible Term Plan
PL10051,Canara HSBC Life Insurance,Canara HSBC Life Insurance Pure Term Plan,150.0,0.0,0.0,5000000,0,0.67,,0,"Kerala,Punjab,Haryana,Rajasthan,Andhra Pradesh",individual,NA,100.0,150.0,250.0,0,Pure Term Plan
PL10052,Canara HSBC Life Insurance,Canara HSBC Life Insurance Return of Premium (TROP),150.0,0.0,0.0,5000000,0,0.91,,0,"Uttar Pradesh,Haryana,Punjab,Delhi,Kerala",individual,NA,100.0,150.0,250.0,0,Return of Premium (TROP)
PL10053,Canara HSBC Life Insurance,Canara HSBC Life Insurance Convertible Term Plan,30.0,0.0,0.0,1000000,0,0.97,accident_cover,0,"Haryana,Delhi,Odisha,Tamil Nadu,Maharashtra",individual,NA,20.0,30.0,50.0,0,Convertible Term Plan
PL10054,Bandhan Life Insurance,Bandhan Life Insurance Pure Term Plan,15.0,0.0,0.0,500000,0,0.16,accident_cover,0,"Maharashtra,Telangana,Haryana,Tamil Nadu,West Bengal",individual,NA,10.0,15.0,25.0,0,Pure Term Plan
PL10055,Bandhan Life Insurance,Bandhan Life Insurance Return of Premium (TROP),300.0,0.0,0.0,10000000,0,0.22,,0,"Punjab,Bihar,Andhra Pradesh,Maharashtra,Gujarat",individual,NA,200.0,300.0,500.0,0,Return of Premium (TROP)
PL10056,Bandhan Life Insurance,Bandhan Life Insurance Convertible Term Plan,300.0,0.0,0.0,10000000,0,0.31,,0,"Maharashtra,Bihar,Kerala,Uttar Pradesh,Delhi",individual,NA,200.0,300.0,500.0,0,Convertible Term Plan
PL10057,Pramerica Life Insurance,Pramerica Life Insurance Pure Term Plan,60.0,0.0,0.0,2000000,0,0.26,,0,"Uttar Pradesh,Karnataka,Maharashtra,Tamil Nadu,Telangana",individual,NA,40.0,60.0,100.0,0,Pure Term Plan
PL10058,Pramerica Life Insurance,Pramerica Life Insurance Return of Premium (TROP),600.0,0.0,0.0,20000000,0,0.5,accident_cover,0,"Delhi,Telangana,Andhra Pradesh,Tamil Nadu,West Bengal",individual,NA,400.0,600.0,1000.0,0,Return of Premium (TROP)
PL10059,Pramerica Life Insurance,Pramerica Life Insurance Convertible Term Plan,30.0,0.0,0.0,1000000,0,1.49,accident_cover,0,"Andhra Pradesh,Odisha,Punjab,West Bengal,Delhi",individual,NA,20.0,30.0,50.0,0,Convertible Term Plan
PL10060,Star Union Dai-ichi Life Insurance,Star Union Dai-ichi Life Insurance Pure Term Plan,600.0,0.0,0.0,20000000,0,1.2,accident_cover,0,"Bihar,Rajasthan,Kerala,Haryana,Punjab",individual,NA,400.0,600.0,1000.0,0,Pure Term Plan
PL10061,Star Union Dai-ichi Life Insurance,Star Union Dai-ichi Life Insurance Return of Premium (TROP),15.0,0.0,0.0,500000,0,0.84,,0,"Telangana,Maharashtra,Punjab,Bihar,Karnataka",individual,NA,10.0,15.0,25.0,0,Return of Premium (TROP)
PL10062,Star Union Dai-ichi Life Insurance,Star Union Dai-ichi Life Insurance Convertible Term Plan,15.0,0.0,0.0,500000,0,0.8,accident_cover,0,"Delhi,Karnataka,Telangana,Punjab,Andhra Pradesh",individual,NA,10.0,15.0,25.0,0,Convertible Term Plan
PL10063,IndiaFirst Life Insurance,IndiaFirst Life Insurance Pure Term Plan,150.0,0.0,0.0,5000000,0,0.73,accident_cover,0,"Odisha,Punjab,Delhi,Gujarat,Tamil Nadu",individual,NA,100.0,150.0,250.0,0,Pure Term Plan
PL10064,IndiaFirst Life Insurance,IndiaFirst Life Insurance Return of Premium (TROP),600.0,0.0,0.0,20000000,0,1.09,accident_cover,0,"Karnataka,Andhra Pradesh,Tamil Nadu,Kerala,Rajasthan",individual,NA,400.0,600.0,1000.0,0,Return of Premium (TROP)
PL10065,IndiaFirst Life Insurance,IndiaFirst Life Insurance Convertible Term Plan,60.0,0.0,0.0,2000000,0,0.13,accident_cover,0,"Uttar Pradesh,Delhi,Haryana,Telangana,Karnataka",individual,NA,40.0,60.0,100.0,0,Convertible Term Plan
PL10066,Edelweiss Life Insurance,Edelweiss Life Insurance Pure Term Plan,600.0,0.0,0.0,20000000,0,0.39,,0,"Andhra Pradesh,Bihar,Tamil Nadu,Delhi,Haryana",individual,NA,400.0,600.0,1000.0,0,Pure Term Plan
PL10067,Edelweiss Life Insurance,Edelweiss Life Insurance Return of Premium (TROP),150.0,0.0,0.0,5000000,0,0.29,accident_cover,0,"Karnataka,Maharashtra,Odisha,Andhra Pradesh,Haryana",individual,NA,100.0,150.0,250.0,0,Return of Premium (TROP)
PL10068,Edelweiss Life Insurance,Edelweiss Life Insurance Convertible Term Plan,30.0,0.0,0.0,1000000,0,0.91,accident_cover,0,"Odisha,Uttar Pradesh,Gujarat,Delhi,Kerala",individual,NA,20.0,30.0,50.0,0,Convertible Term Plan
PL10069,Credit Access Life Insurance,Credit Access Life Insurance Pure Term Plan,600.0,0.0,0.0,20000000,0,0.33,accident_cover,0,"Odisha,Kerala,Telangana,Delhi,Rajasthan",individual,NA,400.0,600.0,1000.0,0,Pure Term Plan
PL10070,Credit Access Life Insurance,Credit Access Life Insurance Return of Premium (TROP),30.0,0.0,0.0,1000000,0,1.27,accident_cover,0,"Tamil Nadu,Haryana,Kerala,Karnataka,Delhi",individual,NA,20.0,30.0,50.0,0,Return of Premium (TROP)
PL10071,Credit Access Life Insurance,Credit Access Life Insurance Convertible Term Plan,300.0,0.0,0.0,10000000,0,1.38,accident_cover,0,"Odisha,Rajasthan,Delhi,Punjab,West Bengal",individual,NA,200.0,300.0,500.0,0,Convertible Term Plan
PL10072,ACKO Life Insurance,ACKO Life Insurance Pure Term Plan,60.0,0.0,0.0,2000000,0,0.11,,0,"Rajasthan,Tamil Nadu,Uttar Pradesh,West Bengal,Kerala",individual,NA,40.0,60.0,100.0,0,Pure Term Plan
PL10073,ACKO Life Insurance,ACKO Life Insurance Return of Premium (TROP),600.0,0.0,0.0,20000000,0,1.34,accident_cover,0,"Rajasthan,Tamil Nadu,Punjab,Haryana,West Bengal",individual,NA,400.0,600.0,1000.0,0,Return of Premium (TROP)
PL10074,ACKO Life Insurance,ACKO Life Insurance Convertible Term Plan,150.0,0.0,0.0,5000000,0,1.02,accident_cover,0,"Telangana,Maharashtra,Gujarat,Bihar,Punjab",individual,NA,100.0,150.0,250.0,0,Convertible Term Plan
PL10075,Go Digit Life Insurance,Go Digit Life Insurance Pure Term Plan,600.0,0.0,0.0,20000000,0,0.83,,0,"Rajasthan,Gujarat,Punjab,West Bengal,Andhra Pradesh",individual,NA,400.0,600.0,1000.0,0,Pure Term Plan
PL10076,Go Digit Life Insurance,Go Digit Life Insurance Return of Premium (TROP),30.0,0.0,0.0,1000000,0,0.14,accident_cover,0,"Telangana,West Bengal,Gujarat,Odisha,Rajasthan",individual,NA,20.0,30.0,50.0,0,Return of Premium (TROP)
PL10077,Go Digit Life Insurance,Go Digit Life Insurance Convertible Term Plan,30.0,0.0,0.0,1000000,0,0.94,accident_cover,0,"Gujarat,Tamil Nadu,Uttar Pradesh,Kerala,Maharashtra",individual,NA,20.0,30.0,50.0,0,Convertible Term Plan
PL10078,Acko General Insurance,Acko General Insurance Individual Health Insurance Bronze,8469.07,5000.0,5.0,179161,731,6.47,"opd,hospitalcash,maternity",30,"Uttar Pradesh,Tamil Nadu,Telangana,Karnataka",individual,Bronze,7791.54,9485.36,12280.15,25000,Individual Health Insurance
PL10079,Acko General Insurance,Acko General Insurance Family Floater Gold,44078.87,10000.0,5.0,946170,14301,3.56,"opd,criticalillness,hospitalcash",30,"Maharashtra,Kerala,Punjab,Uttar Pradesh",family_floater,Gold,40552.56,49368.33,63914.36,50000,Family Floater
PL10080,Acko General Insurance,Acko General Insurance Senior Citizen Health Silver,13711.83,0.0,0.0,482945,3462,6.7,ayush,90,"Tamil Nadu,Gujarat,Odisha,Delhi",individual,Silver,12614.88,15357.25,19882.15,10000,Senior Citizen Health
PL10081,Aditya Birla Health Insurance,Aditya Birla Health Insurance Individual Health Insurance Gold,33394.1,0.0,10.0,1047437,14148,4.95,"hospitalcash,telemedicine",180,"Kerala,Gujarat,Delhi,Maharashtra",individual,Gold,30722.57,37401.39,48421.44,25000,Individual Health Insurance
PL10082,Aditya Birla Health Insurance,Aditya Birla Health Insurance Family Floater Silver,23231.67,5000.0,5.0,502749,14513,6.91,"accident_cover,vision,maternity,dental",180,"Gujarat,Odisha,West Bengal,Rajasthan",family_floater,Silver,21373.14,26019.47,33685.92,25000,Family Floater
PL10083,Aditya Birla Health Insurance,Aditya Birla Health Insurance Senior Citizen Health Bronze,5846.65,0.0,5.0,204507,14456,7.68,"criticalillness,maternity,dental",90,"Uttar Pradesh,Delhi,Karnataka,Haryana",individual,Bronze,5378.92,6548.25,8477.64,50000,Senior Citizen Health
PL10084,Aditya Birla Health Insurance,Aditya Birla Health Insurance Critical Illness Plan,525.0,0.0,0.0,500000,6784,5.16,criticalillness,365,"Kerala,Haryana,Odisha,Andhra Pradesh,Uttar Pradesh",individual,Gold,498.75,682.5,945.0,0,Critical Illness
PL10085,Agriculture Insurance Company of India,Agriculture Insurance Company of India Individual Health Insurance Silver,14762.72,20000.0,5.0,589460,8086,1.47,"ayush,criticalillness,vision",60,"Telangana,Tamil Nadu,West Bengal,Gujarat",individual,Silver,13581.7,16534.25,21405.94,25000,Individual Health Insurance
PL10086,Agriculture Insurance Company of India,Agriculture Insurance Company of India Family Floater Bronze,10651.86,10000.0,5.0,181647,9577,4.09,"maternity,hospitalcash",60,"Haryana,Rajasthan,Telangana,Karnataka",family_floater,Bronze,9799.71,11930.08,15445.2,25000,Family Floater
PL10087,Agriculture Insurance Company of India,Agriculture Insurance Company of India Senior Citizen Health Bronze,9502.98,5000.0,10.0,200470,8678,6.1,hospitalcash,180,"Odisha,Gujarat,Maharashtra,Delhi",individual,Bronze,8742.74,10643.34,13779.32,10000,Senior Citizen Health
PL10088,Agriculture Insurance Company of India,Agriculture Insurance Company of India Critical Illness Plan,1050.0,0.0,0.0,1000000,7015,0.52,criticalillness,90,"Bihar,Gujarat,Haryana,Punjab,Kerala",individual,Gold,997.5,1365.0,1890.0,0,Critical Illness
PL10089,Bajaj Allianz General Insurance,Bajaj Allianz General Insurance Individual Health Insurance Gold,27266.04,0.0,15.0,1031249,13320,2.91,ayush,180,"Haryana,Andhra Pradesh,Rajasthan,Karnataka",individual,Gold,25084.76,30537.96,39535.76,50000,Individual Health Insurance
PL10090,Bajaj Allianz General Insurance,Bajaj Allianz General Insurance Family Floater Silver,20244.22,5000.0,5.0,487987,8995,6.26,"vision,roomrentwaiver,opd",90,"Delhi,Tamil Nadu,Gujarat,West Bengal",family_floater,Silver,18624.68,22673.53,29354.12,50000,Family Floater
PL10091,Bajaj Allianz General Insurance,Bajaj Allianz General Insurance Senior Citizen Health Bronze,7578.32,5000.0,15.0,226911,10016,3.2,ayush,30,"Karnataka,Delhi,Odisha,Uttar Pradesh",individual,Bronze,6972.05,8487.72,10988.56,10000,Senior Citizen Health
PL10092,Cholamandalam MS General Insurance,Cholamandalam MS General Insurance Individual Health Insurance Gold,23031.53,10000.0,0.0,934324,7250,2.93,dental,180,"Odisha,Bihar,Kerala,Telangana",individual,Gold,21189.01,25795.31,33395.72,50000,Individual Health Insurance
PL10093,Cholamandalam MS General Insurance,Cholamandalam MS General Insurance Family Floater Gold,38904.56,20000.0,10.0,929736,12739,6.97,telemedicine,30,"Rajasthan,Bihar,Odisha,Telangana",family_floater,Gold,35792.2,43573.11,56411.61,10000,Family Floater
PL10094,Cholamandalam MS General Insurance,Cholamandalam MS General Insurance Senior Citizen Health Bronze,6262.05,20000.0,0.0,225640,4588,3.32,dental,60,"Punjab,Andhra Pradesh,Tamil Nadu,Kerala",individual,Bronze,5761.09,7013.5,9079.97,5000,Senior Citizen Health
PL10095,Cholamandalam MS General Insurance,Cholamandalam MS General Insurance Critical Illness Plan,2100.0,0.0,0.0,2000000,3489,1.91,criticalillness,180,"Uttar Pradesh,Maharashtra,Kerala,Haryana,Punjab",individual,Gold,1995.0,2730.0,3780.0,0,Critical Illness
PL10096,Manipal Cigna Health Insurance,Manipal Cigna Health Insurance Individual Health Insurance Bronze,8666.61,10000.0,0.0,231183,7382,7.78,"dental,roomrentwaiver,hospitalcash",30,"West Bengal,Andhra Pradesh,Haryana,Uttar Pradesh",individual,Bronze,7973.28,9706.6,12566.58,10000,Individual Health Insurance
PL10097,Manipal Cigna Health Insurance,Manipal Cigna Health Insurance Family Floater Bronze,11613.22,10000.0,5.0,222655,12311,0.86,"vision,opd",90,"Karnataka,Uttar Pradesh,Kerala,Tamil Nadu",family_floater,Bronze,10684.16,13006.81,16839.17,10000,Family Floater
PL10098,Manipal Cigna Health Insurance,Manipal Cigna Health Insurance Senior Citizen Health Bronze,7753.73,20000.0,0.0,188979,6384,3.94,opd,60,"Maharashtra,Andhra Pradesh,Kerala,Odisha",individual,Bronze,7133.43,8684.18,11242.91,25000,Senior Citizen Health
PL10099,Manipal Cigna Health Insurance,Manipal Cigna Health Insurance Critical Illness Plan,2100.0,0.0,0.0,2000000,6859,3.02,criticalillness,90,"Uttar Pradesh,Odisha,Kerala,West Bengal,Bihar",individual,Gold,1995.0,2730.0,3780.0,0,Critical Illness
PL10100,Navi General Insurance,Navi General Insurance Individual Health Insurance Gold,21488.16,0.0,5.0,992968,8319,5.88,"ayush,opd",180,"West Bengal,Delhi,Maharashtra,Bihar",individual,Gold,19769.11,24066.74,31157.83,10000,Individual Health Insurance
PL10101,Navi General Insurance,Navi General Insurance Family Floater Silver,23330.74,5000.0,5.0,538461,9386,5.74,"maternity,accident_cover,hospitalcash",60,"Andhra Pradesh,Rajasthan,Punjab,Kerala",family_floater,Silver,21464.28,26130.43,33829.57,10000,Family Floater
