plan_id,provider,plan_name,premium,deductible,network_size,coverage_amount,age_range,risk_profile,highlight_text,why_good_1,why_good_2,why_good_3,relevance_score
PL10011,ICICI Prudential Life Insurance,ICICI Prudential Life Insurance Convertible Term Plan,30.0,0.0,0,1000000,25-50,low,"ICICI Prudential Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.31%).,Includes flexible options and fast claim processing.,3
PL10012,Kotak Mahindra Life Insurance,Kotak Mahindra Life Insurance Pure Term Plan,30.0,0.0,0,1000000,25-50,low,"Kotak Mahindra Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.11%).,Includes accident_cover and fast claim processing.,1
PL10013,Kotak Mahindra Life Insurance,Kotak Mahindra Life Insurance Return of Premium (TROP),600.0,0.0,0,20000000,30-55,low,"Kotak Mahindra Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.33%).,Includes flexible options and fast claim processing.,2
PL10014,Kotak Mahindra Life Insurance,Kotak Mahindra Life Insurance Convertible Term Plan,30.0,0.0,0,1000000,25-50,low,"Kotak Mahindra Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.37%).,Includes accident_cover and fast claim processing.,2
PL10015,Aditya Birla Sun Life Insurance,Aditya Birla Sun Life Insurance Pure Term Plan,300.0,0.0,0,10000000,25-50,low,"Aditya Birla Sun Life Insurance | ₹10,000,000 coverage | ₹300.0/month premium","Affordable ₹300.0/month plan offering ₹10,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.14%).,Includes flexible options and fast claim processing.,2
PL10016,Aditya Birla Sun Life Insurance,Aditya Birla Sun Life Insurance Return of Premium (TROP),60.0,0.0,0,2000000,30-55,low,"Aditya Birla Sun Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.61%).,Includes flexible options and fast claim processing.,3
PL10017,Aditya Birla Sun Life Insurance,Aditya Birla Sun Life Insurance Convertible Term Plan,300.0,0.0,0,10000000,25-50,low,"Aditya Birla Sun Life Insurance | ₹10,000,000 coverage | ₹300.0/month premium","Affordable ₹300.0/month plan offering ₹10,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.11%).,Includes accident_cover and fast claim processing.,1
PL10018,TATA AIA Life Insurance,TATA AIA Life Insurance Pure Term Plan,60.0,0.0,0,2000000,25-50,low,"TATA AIA Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.23%).,Includes accident_cover and fast claim processing.,2
PL10019,TATA AIA Life Insurance,TATA AIA Life Insurance Return of Premium (TROP),15.0,0.0,0,500000,30-55,low,"TATA AIA Life Insurance | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.72%).,Includes accident_cover and fast claim processing.,2
PL10020,TATA AIA Life Insurance,TATA AIA Life Insurance Convertible Term Plan,15.0,0.0,0,500000,25-50,low,"TATA AIA Life Insurance | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.13%).,Includes flexible options and fast claim processing.,3
PL10021,SBI Life Insurance,SBI Life Insurance Pure Term Plan,15.0,0.0,0,500000,25-50,low,"SBI Life Insurance | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.49%).,Includes accident_cover and fast claim processing.,2
PL10022,SBI Life Insurance,SBI Life Insurance Return of Premium (TROP),600.0,0.0,0,20000000,30-55,low,"SBI Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.44%).,Includes accident_cover and fast claim processing.,2
PL10023,SBI Life Insurance,SBI Life Insurance Convertible Term Plan,600.0,0.0,0,20000000,25-50,low,"SBI Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.41%).,Includes accident_cover and fast claim processing.,2
PL10024,Bajaj Allianz Life Insurance,Bajaj Allianz Life Insurance Pure Term Plan,60.0,0.0,0,2000000,25-50,low,"Bajaj Allianz Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.05%).,Includes accident_cover and fast claim processing.,1
PL10025,Bajaj Allianz Life Insurance,Bajaj Allianz Life Insurance Return of Premium (TROP),600.0,0.0,0,20000000,30-55,low,"Bajaj Allianz Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.97%).,Includes accident_cover and fast claim processing.,2
PL10026,Bajaj Allianz Life Insurance,Bajaj Allianz Life Insurance Convertible Term Plan,150.0,0.0,0,5000000,25-50,low,"Bajaj Allianz Life Insurance | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.87%).,Includes accident_cover and fast claim processing.,1
PL10027,PNB MetLife India Insurance,PNB MetLife India Insurance Pure Term Plan,30.0,0.0,0,1000000,25-50,low,"PNB MetLife India Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.56%).,Includes accident_cover and fast claim processing.,3
PL10028,PNB MetLife India Insurance,PNB MetLife India Insurance Return of Premium (TROP),60.0,0.0,0,2000000,30-55,low,"PNB MetLife India Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.04%).,Includes flexible options and fast claim processing.,2
PL10029,PNB MetLife India Insurance,PNB MetLife India Insurance Convertible Term Plan,600.0,0.0,0,20000000,25-50,low,"PNB MetLife India Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.08%).,Includes flexible options and fast claim processing.,1
PL10030,Reliance Nippon Life Insurance,Reliance Nippon Life Insurance Pure Term Plan,300.0,0.0,0,10000000,25-50,low,"Reliance Nippon Life Insurance | ₹10,000,000 coverage | ₹300.0/month premium","Affordable ₹300.0/month plan offering ₹10,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.47%).,Includes flexible options and fast claim processing.,3
PL10031,Reliance Nippon Life Insurance,Reliance Nippon Life Insurance Return of Premium (TROP),30.0,0.0,0,1000000,30-55,low,"Reliance Nippon Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.23%).,Includes accident_cover and fast claim processing.,2
PL10032,Reliance Nippon Life Insurance,Reliance Nippon Life Insurance Convertible Term Plan,300.0,0.0,0,10000000,25-50,low,"Reliance Nippon Life Insurance | ₹10,000,000 coverage | ₹300.0/month premium","Affordable ₹300.0/month plan offering ₹10,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.56%).,Includes accident_cover and fast claim processing.,2
PL10033,Aviva Life Insurance India,Aviva Life Insurance India Pure Term Plan,150.0,0.0,0,5000000,25-50,low,"Aviva Life Insurance India | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.39%).,Includes accident_cover and fast claim processing.,2
PL10034,Aviva Life Insurance India,Aviva Life Insurance India Return of Premium (TROP),15.0,0.0,0,500000,30-55,low,"Aviva Life Insurance India | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.19%).,Includes flexible options and fast claim processing.,1
PL10035,Aviva Life Insurance India,Aviva Life Insurance India Convertible Term Plan,15.0,0.0,0,500000,25-50,low,"Aviva Life Insurance India | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.44%).,Includes accident_cover and fast claim processing.,3
PL10036,Sahara India Life Insurance,Sahara India Life Insurance Pure Term Plan,15.0,0.0,0,500000,25-50,low,"Sahara India Life Insurance | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.73%).,Includes flexible options and fast claim processing.,1
PL10037,Sahara India Life Insurance,Sahara India Life Insurance Return of Premium (TROP),60.0,0.0,0,2000000,30-55,low,"Sahara India Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.98%).,Includes accident_cover and fast claim processing.,2
PL10038,Sahara India Life Insurance,Sahara India Life Insurance Convertible Term Plan,60.0,0.0,0,2000000,25-50,low,"Sahara India Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.3%).,Includes accident_cover and fast claim processing.,3
PL10039,Shriram Life Insurance,Shriram Life Insurance Pure Term Plan,60.0,0.0,0,2000000,25-50,low,"Shriram Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.28%).,Includes flexible options and fast claim processing.,3
PL10040,Shriram Life Insurance,Shriram Life Insurance Return of Premium (TROP),60.0,0.0,0,2000000,30-55,low,"Shriram Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.27%).,Includes flexible options and fast claim processing.,2
PL10041,Shriram Life Insurance,Shriram Life Insurance Convertible Term Plan,60.0,0.0,0,2000000,25-50,low,"Shriram Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.23%).,Includes accident_cover and fast claim processing.,2
PL10042,Bharti AXA Life Insurance,Bharti AXA Life Insurance Pure Term Plan,15.0,0.0,0,500000,25-50,low,"Bharti AXA Life Insurance | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.01%).,Includes flexible options and fast claim processing.,1
PL10043,Bharti AXA Life Insurance,Bharti AXA Life Insurance Return of Premium (TROP),600.0,0.0,0,20000000,30-55,low,"Bharti AXA Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.66%).,Includes flexible options and fast claim processing.,3
PL10044,Bharti AXA Life Insurance,Bharti AXA Life Insurance Convertible Term Plan,60.0,0.0,0,2000000,25-50,low,"Bharti AXA Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.44%).,Includes flexible options and fast claim processing.,2
PL10045,Future Generali India Life Insurance,Future Generali India Life Insurance Pure Term Plan,15.0,0.0,0,500000,25-50,low,"Future Generali India Life Insurance | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.78%).,Includes flexible options and fast claim processing.,2
PL10046,Future Generali India Life Insurance,Future Generali India Life Insurance Return of Premium (TROP),600.0,0.0,0,20000000,30-55,low,"Future Generali India Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.31%).,Includes accident_cover and fast claim processing.,1
PL10047,Future Generali India Life Insurance,Future Generali India Life Insurance Convertible Term Plan,60.0,0.0,0,2000000,25-50,low,"Future Generali India Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.61%).,Includes accident_cover and fast claim processing.,2
PL10048,Ageas Federal Life Insurance,Ageas Federal Life Insurance Pure Term Plan,30.0,0.0,0,1000000,25-50,low,"Ageas Federal Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.39%).,Includes accident_cover and fast claim processing.,3
PL10049,Ageas Federal Life Insurance,Ageas Federal Life Insurance Return of Premium (TROP),30.0,0.0,0,1000000,30-55,low,"Ageas Federal Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.16%).,Includes accident_cover and fast claim processing.,3
PL10050,Ageas Federal Life Insurance,Ageas Federal Life Insurance Convertible Term Plan,15.0,0.0,0,500000,25-50,low,"Ageas Federal Life Insurance | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.32%).,Includes flexible options and fast claim processing.,3
PL10051,Canara HSBC Life Insurance,Canara HSBC Life Insurance Pure Term Plan,150.0,0.0,0,5000000,25-50,low,"Canara HSBC Life Insurance | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.67%).,Includes flexible options and fast claim processing.,2
PL10052,Canara HSBC Life Insurance,Canara HSBC Life Insurance Return of Premium (TROP),150.0,0.0,0,5000000,30-55,low,"Canara HSBC Life Insurance | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.91%).,Includes flexible options and fast claim processing.,2
PL10053,Canara HSBC Life Insurance,Canara HSBC Life Insurance Convertible Term Plan,30.0,0.0,0,1000000,25-50,low,"Canara HSBC Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.97%).,Includes accident_cover and fast claim processing.,2
PL10054,Bandhan Life Insurance,Bandhan Life Insurance Pure Term Plan,15.0,0.0,0,500000,25-50,low,"Bandhan Life Insurance | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.16%).,Includes accident_cover and fast claim processing.,3
PL10055,Bandhan Life Insurance,Bandhan Life Insurance Return of Premium (TROP),300.0,0.0,0,10000000,30-55,low,"Bandhan Life Insurance | ₹10,000,000 coverage | ₹300.0/month premium","Affordable ₹300.0/month plan offering ₹10,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.22%).,Includes flexible options and fast claim processing.,3
PL10056,Bandhan Life Insurance,Bandhan Life Insurance Convertible Term Plan,300.0,0.0,0,10000000,25-50,low,"Bandhan Life Insurance | ₹10,000,000 coverage | ₹300.0/month premium","Affordable ₹300.0/month plan offering ₹10,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.31%).,Includes flexible options and fast claim processing.,3
PL10057,Pramerica Life Insurance,Pramerica Life Insurance Pure Term Plan,60.0,0.0,0,2000000,25-50,low,"Pramerica Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.26%).,Includes flexible options and fast claim processing.,2
PL10058,Pramerica Life Insurance,Pramerica Life Insurance Return of Premium (TROP),600.0,0.0,0,20000000,30-55,low,"Pramerica Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.5%).,Includes accident_cover and fast claim processing.,2
PL10059,Pramerica Life Insurance,Pramerica Life Insurance Convertible Term Plan,30.0,0.0,0,1000000,25-50,low,"Pramerica Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.49%).,Includes accident_cover and fast claim processing.,3
PL10060,Star Union Dai-ichi Life Insurance,Star Union Dai-ichi Life Insurance Pure Term Plan,600.0,0.0,0,20000000,25-50,low,"Star Union Dai-ichi Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.2%).,Includes accident_cover and fast claim processing.,3
PL10061,Star Union Dai-ichi Life Insurance,Star Union Dai-ichi Life Insurance Return of Premium (TROP),15.0,0.0,0,500000,30-55,low,"Star Union Dai-ichi Life Insurance | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.84%).,Includes flexible options and fast claim processing.,3
PL10062,Star Union Dai-ichi Life Insurance,Star Union Dai-ichi Life Insurance Convertible Term Plan,15.0,0.0,0,500000,25-50,low,"Star Union Dai-ichi Life Insurance | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.8%).,Includes accident_cover and fast claim processing.,2
PL10063,IndiaFirst Life Insurance,IndiaFirst Life Insurance Pure Term Plan,150.0,0.0,0,5000000,25-50,low,"IndiaFirst Life Insurance | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.73%).,Includes accident_cover and fast claim processing.,1
PL10064,IndiaFirst Life Insurance,IndiaFirst Life Insurance Return of Premium (TROP),600.0,0.0,0,20000000,30-55,low,"IndiaFirst Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.09%).,Includes accident_cover and fast claim processing.,3
PL10065,IndiaFirst Life Insurance,IndiaFirst Life Insurance Convertible Term Plan,60.0,0.0,0,2000000,25-50,low,"IndiaFirst Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.13%).,Includes accident_cover and fast claim processing.,3
PL10066,Edelweiss Life Insurance,Edelweiss Life Insurance Pure Term Plan,600.0,0.0,0,20000000,25-50,low,"Edelweiss Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.39%).,Includes flexible options and fast claim processing.,2
PL10067,Edelweiss Life Insurance,Edelweiss Life Insurance Return of Premium (TROP),150.0,0.0,0,5000000,30-55,low,"Edelweiss Life Insurance | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.29%).,Includes accident_cover and fast claim processing.,2
PL10068,Edelweiss Life Insurance,Edelweiss Life Insurance Convertible Term Plan,30.0,0.0,0,1000000,25-50,low,"Edelweiss Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.91%).,Includes accident_cover and fast claim processing.,3
PL10069,Credit Access Life Insurance,Credit Access Life Insurance Pure Term Plan,600.0,0.0,0,20000000,25-50,low,"Credit Access Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.33%).,Includes accident_cover and fast claim processing.,2
PL10070,Credit Access Life Insurance,Credit Access Life Insurance Return of Premium (TROP),30.0,0.0,0,1000000,30-55,low,"Credit Access Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.27%).,Includes accident_cover and fast claim processing.,1
PL10071,Credit Access Life Insurance,Credit Access Life Insurance Convertible Term Plan,300.0,0.0,0,10000000,25-50,low,"Credit Access Life Insurance | ₹10,000,000 coverage | ₹300.0/month premium","Affordable ₹300.0/month plan offering ₹10,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.38%).,Includes accident_cover and fast claim processing.,3
PL10072,ACKO Life Insurance,ACKO Life Insurance Pure Term Plan,60.0,0.0,0,2000000,25-50,low,"ACKO Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.11%).,Includes flexible options and fast claim processing.,3
PL10073,ACKO Life Insurance,ACKO Life Insurance Return of Premium (TROP),600.0,0.0,0,20000000,30-55,low,"ACKO Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.34%).,Includes accident_cover and fast claim processing.,1
PL10074,ACKO Life Insurance,ACKO Life Insurance Convertible Term Plan,150.0,0.0,0,5000000,25-50,low,"ACKO Life Insurance | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.02%).,Includes accident_cover and fast claim processing.,3
PL10075,Go Digit Life Insurance,Go Digit Life Insurance Pure Term Plan,600.0,0.0,0,20000000,25-50,low,"Go Digit Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.83%).,Includes flexible options and fast claim processing.,2
PL10076,Go Digit Life Insurance,Go Digit Life Insurance Return of Premium (TROP),30.0,0.0,0,1000000,30-55,low,"Go Digit Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.14%).,Includes accident_cover and fast claim processing.,2
PL10077,Go Digit Life Insurance,Go Digit Life Insurance Convertible Term Plan,30.0,0.0,0,1000000,25-50,low,"Go Digit Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.94%).,Includes accident_cover and fast claim processing.,2
