planid,plan_name,provider,claimrejectionrate,networksize
PL10100,Navi General Insurance Individual Health Insurance Gold,Navi General Insurance,5.88,8319
PL10101,Navi General Insurance Family Floater Silver,Navi General Insurance,5.74,9386
PL10102,Navi General Insurance Senior Citizen Health Bronze,Navi General Insurance,3.4,12223
PL10103,Navi General Insurance Critical Illness Plan,Navi General Insurance,3.42,3547
PL10104,Go Digit Insurance Individual Health Insurance Bronze,Go Digit Insurance,4.88,8427
PL10105,Go Digit Insurance Family Floater Silver,Go Digit Insurance,6.1,5914
PL10106,Go Digit Insurance Senior Citizen Health Bronze,Go Digit Insurance,2.79,11505
PL10107,Go Digit Insurance Critical Illness Plan,Go Digit Insurance,3.13,7528
PL10108,Zuno General Insurance Individual Health Insurance Gold,Zuno General Insurance,7.75,14038
PL10109,Zuno General Insurance Family Floater Bronze,Zuno General Insurance,4.44,5824
PL10110,Zuno General Insurance Senior Citizen Health Silver,Zuno General Insurance,5.09,13964
PL10111,ECGC Limited Individual Health Insurance Bronze,ECGC Limited,2.2,6707
PL10112,ECGC Limited Family Floater Gold,ECGC Limited,1.88,8007
PL10113,ECGC Limited Senior Citizen Health Silver,ECGC Limited,1.69,1838
PL10114,ECGC Limited Critical Illness Plan,ECGC Limited,5.01,2139
PL10115,Future Generali India Insurance Individual Health Insurance Bronze,Future Generali India Insurance,4.32,2491
PL10116,Future Generali India Insurance Family Floater Bronze,Future Generali India Insurance,3.21,3231
PL10117,Future Generali India Insurance Senior Citizen Health Silver,Future Generali India Insurance,5.78,1968
PL10118,Future Generali India Insurance Critical Illness Plan,Future Generali India Insurance,3.14,7472
PL10119,HDFC ERGO General Insurance Individual Health Insurance Gold,HDFC ERGO General Insurance,6.81,11184
PL10120,HDFC ERGO General Insurance Family Floater Bronze,HDFC ERGO General Insurance,6.2,14040
PL10121,HDFC ERGO General Insurance Senior Citizen Health Silver,HDFC ERGO General Insurance,1.17,9971
PL10122,HDFC ERGO General Insurance Critical Illness Plan,HDFC ERGO General Insurance,5.66,6402
PL10123,ICICI Lombard General Insurance Individual Health Insurance Bronze,ICICI Lombard General Insurance,6.96,6304
PL10124,ICICI Lombard General Insurance Family Floater Silver,ICICI Lombard General Insurance,2.68,4623
PL10125,ICICI Lombard General Insurance Senior Citizen Health Silver,ICICI Lombard General Insurance,3.64,8085
PL10126,IFFCO TOKIO General Insurance Individual Health Insurance Silver,IFFCO TOKIO General Insurance,1.69,10664
PL10127,IFFCO TOKIO General Insurance Family Floater Silver,IFFCO TOKIO General Insurance,3.51,2734
PL10128,IFFCO TOKIO General Insurance Senior Citizen Health Silver,IFFCO TOKIO General Insurance,0.69,11927
PL10129,IFFCO TOKIO General Insurance Critical Illness Plan,IFFCO TOKIO General Insurance,3.99,6148
PL10130,Zurich Kotak General Insurance Individual Health Insurance Bronze,Zurich Kotak General Insurance,1.11,3841
PL10131,Zurich Kotak General Insurance Family Floater Silver,Zurich Kotak General Insurance,1.18,6354
PL10132,Zurich Kotak General Insurance Senior Citizen Health Gold,Zurich Kotak General Insurance,0.84,9253
PL10133,Zurich Kotak General Insurance Critical Illness Plan,Zurich Kotak General Insurance,3.62,3006
PL10134,Liberty General Insurance Individual Health Insurance Gold,Liberty General Insurance,5.67,8626
PL10135,Liberty General Insurance Family Floater Gold,Liberty General Insurance,1.61,5418
PL10136,Liberty General Insurance Senior Citizen Health Silver,Liberty General Insurance,3.3,9823
PL10137,Magma General Insurance Individual Health Insurance Bronze,Magma General Insurance,5.75,3800
PL10138,Magma General Insurance Family Floater Bronze,Magma General Insurance,7.41,659
PL10139,Magma General Insurance Senior Citizen Health Bronze,Magma General Insurance,3.69,10251
PL10140,Niva Bupa Health Insurance Individual Health Insurance Gold,Niva Bupa Health Insurance,6.54,13076
PL10141,Niva Bupa Health Insurance Family Floater Silver,Niva Bupa Health Insurance,4.31,10370
PL10142,Niva Bupa Health Insurance Senior Citizen Health Silver,Niva Bupa Health Insurance,2.06,13106
PL10143,Niva Bupa Health Insurance Critical Illness Plan,Niva Bupa Health Insurance,1.78,4443
PL10144,National Insurance Company Individual Health Insurance Bronze,National Insurance Company,4.42,8044
PL10145,National Insurance Company Family Floater Bronze,National Insurance Company,7.44,1305
PL10146,National Insurance Company Senior Citizen Health Gold,National Insurance Company,4.94,7960
PL10147,National Insurance Company Critical Illness Plan,National Insurance Company,5.74,1080
PL10148,New India Assurance Company Individual Health Insurance Silver,New India Assurance Company,6.78,13004
PL10149,New India Assurance Company Family Floater Platinum,New India Assurance Company,6.87,4404
PL10150,New India Assurance Company Senior Citizen Health Gold,New India Assurance Company,7.34,14567
PL10151,New India Assurance Company Critical Illness Plan,New India Assurance Company,1.14,273
PL10152,Raheja QBE General Insurance Individual Health Insurance Silver,Raheja QBE General Insurance,5.34,13433
PL10153,Raheja QBE General Insurance Family Floater Bronze,Raheja QBE General Insurance,6.52,9967
PL10154,Raheja QBE General Insurance Senior Citizen Health Gold,Raheja QBE General Insurance,1.79,3942
PL10155,Reliance General Insurance Individual Health Insurance Gold,Reliance General Insurance,1.65,12192
PL10156,Reliance General Insurance Family Floater Silver,Reliance General Insurance,5.97,10861
PL10157,Reliance General Insurance Senior Citizen Health Platinum,Reliance General Insurance,2.01,12554
PL10158,Reliance General Insurance Critical Illness Plan,Reliance General Insurance,2.64,3160
PL10159,Care Health Insurance Individual Health Insurance Bronze,Care Health Insurance,4.48,2325
PL10160,Care Health Insurance Family Floater Silver,Care Health Insurance,5.31,12530
PL10161,Care Health Insurance Senior Citizen Health Bronze,Care Health Insurance,1.52,592
PL10162,Care Health Insurance Critical Illness Plan,Care Health Insurance,1.69,6257
PL10163,Royal Sundaram General Insurance Individual Health Insurance Silver,Royal Sundaram General Insurance,2.81,2347
PL10164,Royal Sundaram General Insurance Family Floater Silver,Royal Sundaram General Insurance,5.34,2234
PL10165,Royal Sundaram General Insurance Senior Citizen Health Silver,Royal Sundaram General Insurance,6.2,2178
PL10166,SBI General Insurance Individual Health Insurance Silver,SBI General Insurance,1.19,2045
PL10167,SBI General Insurance Family Floater Bronze,SBI General Insurance,4.6,5322
PL10168,SBI General Insurance Senior Citizen Health Silver,SBI General Insurance,6.6,6729
PL10169,SBI General Insurance Critical Illness Plan,SBI General Insurance,4.03,5146
PL10170,Shriram General Insurance Individual Health Insurance Bronze,Shriram General Insurance,5.06,2182
PL10171,Shriram General Insurance Family Floater Bronze,Shriram General Insurance,6.67,1835
PL10172,Shriram General Insurance Senior Citizen Health Bronze,Shriram General Insurance,1.01,13181
PL10173,Star Health and Allied Insurance Individual Health Insurance Silver,Star Health and Allied Insurance,0.68,6216
PL10174,Star Health and Allied Insurance Family Floater Bronze,Star Health and Allied Insurance,4.56,14383
PL10175,Star Health and Allied Insurance Senior Citizen Health Gold,Star Health and Allied Insurance,7.11,945
PL10176,Star Health and Allied Insurance Critical Illness Plan,Star Health and Allied Insurance,5.05,2798
PL10177,Tata AIG General Insurance Individual Health Insurance Bronze,Tata AIG General Insurance,3.5,11071
PL10178,Tata AIG General Insurance Family Floater Silver,Tata AIG General Insurance,6.16,8659
PL10179,Tata AIG General Insurance Senior Citizen Health Silver,Tata AIG General Insurance,5.43,899
PL10180,Tata AIG General Insurance Critical Illness Plan,Tata AIG General Insurance,5.74,3567
PL10181,The Oriental Insurance Company Individual Health Insurance Gold,The Oriental Insurance Company,1.92,8682
PL10182,The Oriental Insurance Company Family Floater Bronze,The Oriental Insurance Company,7.92,2297
PL10183,The Oriental Insurance Company Senior Citizen Health Bronze,The Oriental Insurance Company,2.29,8021
PL10184,The Oriental Insurance Company Critical Illness Plan,The Oriental Insurance Company,5.75,3082
PL10185,United India Insurance Company Individual Health Insurance Silver,United India Insurance Company,0.95,8520
PL10186,United India Insurance Company Family Floater Bronze,United India Insurance Company,5.71,5664
PL10187,United India Insurance Company Senior Citizen Health Silver,United India Insurance Company,7.25,2536
PL10188,United India Insurance Company Critical Illness Plan,United India Insurance Company,0.62,5710
PL10189,Universal Sompo General Insurance Individual Health Insurance Gold,Universal Sompo General Insurance,0.54,13925
PL10190,Universal Sompo General Insurance Family Floater Bronze,Universal Sompo General Insurance,3.25,13971
PL10191,Universal Sompo General Insurance Senior Citizen Health Bronze,Universal Sompo General Insurance,3.12,13957
PL10192,Kshema General Insurance Individual Health Insurance Gold,Kshema General Insurance,7.04,11844
PL10193,Kshema General Insurance Family Floater Silver,Kshema General Insurance,1.12,11564
PL10194,Kshema General Insurance Senior Citizen Health Bronze,Kshema General Insurance,2.86,14180
PL10195,Kshema General Insurance Critical Illness Plan,Kshema General Insurance,5.31,818
PL10196,Galaxy Health Insurance Individual Health Insurance Silver,Galaxy Health Insurance,1.15,11597
PL10197,Galaxy Health Insurance Family Floater Silver,Galaxy Health Insurance,2.78,6447
PL10198,Galaxy Health Insurance Senior Citizen Health Gold,Galaxy Health Insurance,3.28,3793
PL10199,Galaxy Health Insurance Critical Illness Plan,Galaxy Health Insurance,1.97,1192
PL10200,Bandhan General Insurance Individual Health Insurance Gold,Bandhan General Insurance,0.8,8534
PL10201,Bandhan General Insurance Family Floater Bronze,Bandhan General Insurance,3.55,1703
PL10202,Bandhan General Insurance Senior Citizen Health Bronze,Bandhan General Insurance,7.88,3677
PL10203,Ayushman Bharat - PMJAY package,Ayushman Bharat,1.54,50000
